fiber_length;fiber_type;connector_type;olt_txpower;olt_rxpower;olt_temperature;olt_splitter;odc_splitter;odp_splitter;ont_txpower;ont_rxpower;ont_temperature;onu_link_status;wavelength;spec_status;
6502;SM;SC;3,86;-20,33;29;1:2;1:4;1:8;2,34;-21,74;58;ONLINE;1490;SPEC;
2252;SM;SC;3,64;-21,14;33;1:2;1:4;1:8;2,21;-19,43;49;ONLINE;1490;SPEC;
2346;SM;SC;3,74;-21,43;33;1:2;1:4;1:8;1,91;-19,7;55;ONLINE;1490;SPEC;
2354;SM;SC;3,76;-23,88;33;1:2;1:4;1:8;2,12;-23,18;47;ONLINE;1490;SPEC;
3140;SM;SC;3,71;-18,22;33;1:2;1:4;1:8;2,3;-16,94;53;ONLINE;1490;SPEC;
4707;SM;SC;3,39;-18,05;30;1:2;1:4;1:8;2,26;-15,93;51;ONLINE;1490;SPEC;
4931;SM;SC;3,54;-21,37;30;1:2;1:4;1:8;2,36;-18,86;55;ONLINE;1490;SPEC;
4711;SM;SC;3,51;-18,61;33;1:2;1:4;1:8;2,34;-16,75;56;ONLINE;1490;SPEC;
5049;SM;SC;3,65;-21,03;26;1:2;1:4;1:8;2,43;-19,87;43;ONLINE;1490;SPEC;
5222;SM;SC;3,65;-17,57;37;1:2;1:4;1:8;2,43;-20,75;42;ONLINE;1490;SPEC;
4858;SM;SC;3,69;-19,36;36;1:2;1:4;1:8;2,46;-17,59;45;ONLINE;1490;SPEC;
4876;SM;SC;4,01;-18,02;40;1:2;1:4;1:8;2,67;-16,95;58;ONLINE;1490;SPEC;
4877;SM;SC;3,66;-17,7;33;1:2;1:4;1:8;2,44;-17,24;51;ONLINE;1490;SPEC;
4875;SM;SC;3,81;-17,68;40;1:2;1:4;1:8;2,54;-16,42;44;ONLINE;1490;SPEC;
2543;SM;SC;3,48;-19,24;33;1:2;1:4;1:8;2,32;-18,15;40;ONLINE;1490;SPEC;
3585;SM;SC;3,48;-20,41;34;1:2;1:2;1:16;2,32;-19,17;44;ONLINE;1490;SPEC;
